title,doi,journal,pmid,tags
Single-nucleus RNA-seq and ATAC-seq analyses provide molecular insights into the,10.1093/hr/uhag117,Horticulture Research,,"stress, immunity, metabolism, epigenetic, single-cell, multi-omics, gene-regulat"
A single-cell analysis of the Arabidopsis vegetative shoot apex.,10.1016/j.devcel.2021.02.021,,,"development, cell-cycle, single-cell, multi-omics, gene-regulation, wood"
"Integrating 3D imaging, GWAS, and single-cell transcriptome approaches to elucid",10.1093/plphys/kiaf432,,,"development, immunity, light, single-cell, multi-omics, signaling, senescence"
Spatial transcriptomics decodes the cellular landscape of plant-pathogen interac,10.1038/s41477-025-02204-5,,,"immunity, spatial-omics"
Single-cell and tissue transcriptomes unveil factors regulating vein initiation,10.1093/plcell/koag035,,,"development, hormone, single-cell, wood"
Spongy mesophyll cell death is induced by jasmonic acid during leaf senescence i,10.1093/plcell/koag095,,,"metabolism, hormone, single-cell, multi-omics, gene-regulation, senescence"
Mass Spectrometry Imaging Combined With Single-Cell Transcriptional Profiling Re,10.1111/pbi.70534,,,"metabolism, light, spatial-omics, single-cell, multi-omics, senescence"
Integrated Single-Cell and Spatial Transcriptomics Reveal Cell-Type-Specific Imm,10.1002/advs.202512295,,,"immunity, light, hormone, spatial-omics, single-cell, multi-omics"
A single-cell transcriptomic landscape characterizes the vegetative-to-reproduct,10.1007/s44412-025-00004-4,WheatOmics,,"development, stress, single-cell"
Single-cell transcriptomic analysis of plant quiescent center by third-generatio,10.1186/s13059-026-03989-0,,,"development, metabolism, hormone, cell-cycle, single-cell, signaling"
created: 2026-05-28,10.1111/pce.70169核心总览,,,reference
Cell-Specific Expression and Cellular Compartmental Regulation in Camptothecin B,10.1111/pbi.70687,,,"metabolism, single-cell"
CLUEY enables knowledge-guided clustering and cell type detection from single-ce,10.1093/bioinformatics/btaf528,,,"light, single-cell, multi-omics"
Multiplexed transcriptomic analyzes of the plant embryonic hourglass.,10.1038/s41467-024-55803-9,,,"development, spatial-omics"
Spatiotemporal transcriptomic and metabolomic landscapes of wild soybean seed de,10.1016/j.xplc.2025.101580,,,"development, metabolism, spatial-omics, single-cell, multi-omics, signaling"
created: 2026-05-28,10.1002/advs.202416794）一、研究背景,,,reference
Dissecting the cellular architecture and genetic circuitry of the soybean seed.,10.1073/pnas.2416987121,,,"development, single-cell, multi-omics"
The comprehensive regulatory network in seed oil biosynthesis.,10.1111/jipb.13834,,,"stress, metabolism, light, gene-regulation"
Guard cell photorespiration controls stomata behavior and development.,10.1111/nph.71137,,,"development, stress, metabolism, light, multi-omics, signaling"
TCP21 negatively regulates photomorphogenesis by integrating phyB- and HY5-media,10.1111/tpj.70902,,,"development, light, multi-omics, gene-regulation, signaling"
Integrated multiomics analysis reveals the molecular mechanism of light intensit,10.1093/hr/uhaf293,,,"development, metabolism, light, hormone, multi-omics, gene-regulation, signaling"
The Arabidopsis PRC2 subunit MSI1 interacts with HY5 to repress hypocotyl elonga,10.1093/plcell/koag003,,,"development, immunity, light, hormone, epigenetic, multi-omics, gene-regulation,"
An integrative gene regulatory network identifies transcriptional hubs governing,10.1016/j.jgg.2026.03.024,,,"development, metabolism, light, hormone, multi-omics, gene-regulation"
The MYC2-MYB113 module governs JA signaling to regulate anthocyanin accumulation,10.1111/nph.71235,,,"stress, immunity, metabolism, light, gene-regulation, signaling, wood"
蓝光受体CRY1调控从头茎再生,10.1101/2025.12.09.693185,,,"light, regeneration, signaling, development, hormone"
"Single-cell insights into plant growth, adaptation, and evolution.",10.1111/jipb.70272,,,"development, stress, spatial-omics, single-cell, multi-omics"
A circadian rheostat drives proton electrochemical gradients to optimize cell-ty,10.1016/j.cell.2025.12.056,,,"development, light, hormone, single-cell, gene-regulation, signaling, wood"
